post_id,user_id,post_text,hashtags,post_time,post_type,follower_count,likes,comments,shares,engagement_score,is_trending,day_of_week
post_1,user_471,Imagine mention general beat discover lose say Mrs until man ready free character free imagine where discover suffer result.,"#budget,#model,#poor,#turn,#treatment",2025-04-12 04:49:01,video,943486,597,311,434,494.9,0,Saturday
post_2,user_91,At use development various claim gas find about act project now too environmental should appear community bar.,"#thus,#again,#black",2025-04-13 07:18:09,video,315298,2389,305,217,1546.6,1,Sunday
post_3,user_1578,Young factor no third at to probably here early write marriage decision.,"#service,#picture,#sister,#environmental,#teacher",2025-04-21 00:50:43,text,926939,1770,514,303,1246.5,1,Monday
post_4,user_360,Field form executive close both interesting mention wife pressure message market top.,"#say,#stop,#for",2025-04-11 11:39:50,video,383765,1914,196,907,1297.9,1,Friday
post_5,user_867,Community organization cover industry stage once sport level maintain.,"#real,#station,#allow",2025-04-04 05:53:32,text,434684,2123,23,562,1336.9,1,Friday
post_6,user_1124,International too nothing later act toward glass behind address standard painting natural determine similar born candidate finish protect because model attorney night.,"#ok,#tell",2025-04-06 01:46:22,link,990571,3692,462,950,2448.8,1,Sunday
post_7,user_871,Color these itself yourself effect local line two organization at western tough.,"#Republican,#go,#official,#particular,#still",2025-04-25 14:26:54,link,284929,1983,964,709,1549.9,1,Friday
post_8,user_1518,Speak both though ten marriage former consumer window cultural nation clear before positive.,#instead,2025-04-22 14:01:25,video,15677,289,521,644,394.1,0,Tuesday
post_9,user_167,Light development moment wrong though itself key training character conference per.,"#five,#truth,#necessary",2025-04-18 04:41:57,image,234577,4535,344,144,2838.6,1,Friday
post_10,user_1226,Establish store decide suggest week same crime million simply third other affect expect enjoy court then read.,"#since,#them,#me,#sense",2025-04-02 13:31:41,text,83247,972,956,633,933.3,0,Wednesday
post_11,user_1423,Point somebody method now box candidate appear collection worry.,"#during,#believe,#blue",2025-04-22 05:14:42,video,436934,944,982,458,906.8,0,Tuesday
post_12,user_863,Impact buy director would build think despite.,"#machine,#five",2025-04-04 18:19:44,link,587146,1178,25,728,787.1,0,Friday
post_13,user_1099,Summer on yes road class staff feel career perhaps never treat wrong current mention seek professor star major read candidate.,#moment,2025-04-04 00:40:00,link,977985,4673,808,114,3057.6,1,Friday
post_14,user_32,Fine position yard financial kind.,"#reason,#per,#sister,#effort",2025-04-02 11:55:49,video,8243,741,859,677,770.0,0,Wednesday
post_15,user_892,Soldier fund subject thousand as his modern each white.,"#might,#wife,#hard,#despite",2025-04-10 10:13:37,link,150038,2783,119,55,1711.0,1,Thursday
post_16,user_1275,Pick notice drop my fire raise whom center however ahead if remain.,#front,2025-04-14 16:34:58,image,858791,4586,811,460,3040.9,1,Monday
post_17,user_1954,Create need talk top sister matter history maintain ever.,"#sell,#Republican,#bill,#happy",2025-04-07 05:58:44,image,439449,3713,188,983,2382.5,1,Monday
post_18,user_537,Might respond seven continue impact someone organization deal whole support production list forward yet service affect thousand letter.,"#base,#break,#term",2025-04-04 13:53:14,video,374167,168,268,281,209.3,0,Friday
post_19,user_251,He message lead same structure direction finally.,"#reflect,#apply,#amount,#science,#ground",2025-04-17 13:36:25,video,537048,4266,221,823,2708.2,1,Thursday
post_20,user_1386,Course near beat across doctor the capital western have else national simple ahead change another determine only attack.,"#service,#win,#whom,#always,#tonight",2025-04-25 15:41:02,image,504081,3596,240,368,2266.4,1,Friday
post_21,user_1315,Idea since modern task really enjoy statement understand.,"#require,#hand",2025-04-23 23:09:07,video,169591,336,520,390,396.6,0,Wednesday
post_22,user_1949,Not side environment color factor miss season whom since effort.,"#religious,#film,#great",2025-04-21 19:46:36,image,618455,357,384,130,342.4,0,Monday
post_23,user_173,Bag fund past forget white candidate state money move bag.,"#name,#water",2025-04-28 07:53:16,video,143183,4511,99,375,2773.8,1,Monday
post_24,user_347,Door expect development until its population hundred system race tend health fire necessary family throw doctor buy sit statement wall region air.,"#through,#high,#require",2025-04-12 21:20:42,video,108675,783,842,805,802.9,0,Saturday
post_25,user_924,Last its drug season once various heavy dream star region continue because writer ever trial wrong pressure old task.,#candidate,2025-04-24 10:10:59,link,845407,751,470,944,686.0,0,Thursday
post_26,user_1247,Our course recent fall TV modern.,"#open,#newspaper,#success,#fight,#any",2025-04-17 14:25:08,text,245432,4047,934,299,2738.3,1,Thursday
post_27,user_1471,Another send involve win reduce partner certain.,"#not,#security,#third",2025-04-09 11:07:13,video,266045,4046,287,232,2536.9,1,Wednesday
post_28,user_1927,Family audience occur today own participant think finish owner able specific early hard week close production close group matter.,#audience,2025-04-29 20:41:07,video,493771,4187,955,437,2842.4,1,Tuesday
post_29,user_679,Order threat lead exactly statement project carry often.,"#story,#back,#every",2025-04-27 12:40:19,video,323861,4480,278,87,2780.1,1,Sunday
post_30,user_347,Box choose century thank research your.,"#discussion,#summer,#hear,#song,#their",2025-04-26 12:17:50,text,299824,924,578,991,826.9,0,Saturday
post_31,user_113,Middle guy lawyer very Congress arm exactly it should.,"#wide,#suggest,#member",2025-04-17 05:14:04,text,889069,1023,971,80,913.1,0,Thursday
